2017-06-09T12:35:00Z,0.0
2017-06-09T12:40:00Z,0.0
2017-06-09T12:45:00Z,0.0
2017-06-09T12:50:00Z,0.0
2017-06-09T12:55:00Z,0.0
2017-06-09T13:00:00Z,0.0
2017-06-09T13:05:00Z,0.0
2017-06-09T13:10:00Z,0.0
2017-06-09T13:15:00Z,0.0
2017-06-09T13:20:00Z,0.0
2017-06-09T13:25:00Z,0.0
2017-06-09T13:30:00Z,0.0
2017-06-09T13:35:00Z,0.0
2017-06-09T13:40:00Z,0.0
2017-06-09T13:45:00Z,0.0
2017-06-09T13:50:00Z,0.0
2017-06-09T13:55:00Z,0.0
2017-06-09T14:00:00Z,0.0
2017-06-09T14:05:00Z,0.0
2017-06-09T14:10:00Z,0.0
2017-06-09T14:15:00Z,0.0
2017-06-09T14:20:00Z,0.0
2017-06-09T14:25:00Z,0.0
2017-06-09T14:30:00Z,0.0
2017-06-09T14:35:00Z,0.0
2017-06-09T14:40:00Z,0.0
2017-06-09T14:45:00Z,0.0
2017-06-09T14:50:00Z,0.0
2017-06-09T14:55:00Z,0.0
2017-06-09T15:00:00Z,0.0
2017-06-09T15:05:00Z,0.0
2017-06-09T15:10:00Z,0.0
2017-06-09T15:15:00Z,0.0
2017-06-09T15:20:00Z,0.0
2017-06-09T15:25:00Z,0.0
2017-06-09T15:30:00Z,0.0
2017-06-09T15:35:00Z,0.0
2017-06-09T15:40:00Z,0.0
2017-06-09T15:45:00Z,0.0
2017-06-09T15:50:00Z,0.0
2017-06-09T15:55:00Z,0.0
2017-06-09T16:00:00Z,0.0
2017-06-09T16:05:00Z,0.0
2017-06-09T16:10:00Z,0.0
2017-06-09T16:15:00Z,0.0
2017-06-09T16:20:00Z,0.0
2017-06-09T16:25:00Z,0.0
2017-06-09T16:30:00Z,0.0
2017-06-09T16:35:00Z,0.0
2017-06-09T16:40:00Z,0.0
2017-06-09T16:45:00Z,0.0
2017-06-09T16:50:00Z,0.0
2017-06-09T16:55:00Z,0.0
2017-06-09T17:00:00Z,0.0
2017-06-09T17:05:00Z,0.0
2017-06-09T17:10:00Z,0.0
2017-06-09T17:15:00Z,0.0
2017-06-09T17:20:00Z,0.0
2017-06-09T17:25:00Z,0.0
2017-06-09T17:30:00Z,0.0
2017-06-09T17:35:00Z,0.0
2017-06-09T17:40:00Z,0.0
2017-06-09T17:45:00Z,0.0
2017-06-09T17:50:00Z,0.0
2017-06-09T17:55:00Z,0.0
2017-06-09T18:00:00Z,0.0
2017-06-09T18:05:00Z,0.0
2017-06-09T18:10:00Z,0.0
2017-06-09T18:15:00Z,0.0
2017-06-09T18:20:00Z,0.0
2017-06-09T18:25:00Z,0.0
2017-06-09T18:30:00Z,0.0
2017-06-09T18:35:00Z,0.0
2017-06-09T18:40:00Z,0.0
2017-06-09T18:45:00Z,0.0
2017-06-09T18:50:00Z,0.0
2017-06-09T18:55:00Z,0.0
2017-06-09T19:00:00Z,0.0
2017-06-09T19:05:00Z,0.0
2017-06-09T19:10:00Z,0.0
2017-06-09T19:15:00Z,0.0
2017-06-09T19:20:00Z,0.0
2017-06-09T19:25:00Z,0.0
2017-06-09T19:30:00Z,0.0
2017-06-09T19:35:00Z,0.0
2017-06-09T19:40:00Z,0.0
2017-06-09T19:45:00Z,0.0
2017-06-09T19:50:00Z,0.0
2017-06-09T19:55:00Z,0.0
2017-06-09T20:00:00Z,0.0
2017-06-09T20:05:00Z,0.0
2017-06-09T20:10:00Z,0.0
2017-06-09T20:15:00Z,0.0
2017-06-09T20:20:00Z,0.0
2017-06-09T20:25:00Z,0.0
2017-06-09T20:30:00Z,0.0
2017-06-09T20:35:00Z,0.0
2017-06-09T20:40:00Z,0.0
2017-06-09T20:45:00Z,0.0
2017-06-09T20:50:00Z,0.0
2017-06-09T20:55:00Z,0.0
2017-06-09T21:00:00Z,0.0
2017-06-09T21:05:00Z,0.0
2017-06-09T21:10:00Z,0.0
2017-06-09T21:15:00Z,0.0
2017-06-09T21:20:00Z,0.0
2017-06-09T21:25:00Z,0.0
2017-06-09T21:30:00Z,0.0
2017-06-09T21:35:00Z,0.0
2017-06-09T21:40:00Z,0.0
2017-06-09T21:45:00Z,0.0
2017-06-09T21:50:00Z,0.0
2017-06-09T21:55:00Z,0.0
2017-06-09T22:00:00Z,0.0
2017-06-09T22:05:00Z,0.0
2017-06-09T22:10:00Z,0.0
2017-06-09T22:15:00Z,0.0
2017-06-09T22:20:00Z,0.0
2017-06-09T22:25:00Z,0.0
2017-06-09T22:30:00Z,0.0
2017-06-09T22:35:00Z,0.0
2017-06-09T22:40:00Z,0.0
2017-06-09T22:45:00Z,0.0
2017-06-09T22:50:00Z,0.0
2017-06-09T22:55:00Z,0.0
2017-06-09T23:00:00Z,0.0
2017-06-09T23:05:00Z,0.0
2017-06-09T23:10:00Z,0.0
2017-06-09T23:15:00Z,0.0
2017-06-09T23:20:00Z,0.0
2017-06-09T23:25:00Z,0.0
2017-06-09T23:30:00Z,0.0
2017-06-09T23:35:00Z,0.0
2017-06-09T23:40:00Z,0.0
2017-06-09T23:45:00Z,0.0
2017-06-09T23:50:00Z,0.0
2017-06-09T23:55:00Z,0.0
2017-06-10T00:00:00Z,0.0
2017-06-10T00:05:00Z,0.0
2017-06-10T00:10:00Z,0.0
2017-06-10T00:15:00Z,0.0
2017-06-10T00:20:00Z,0.0
2017-06-10T00:25:00Z,0.0
2017-06-10T00:30:00Z,0.0
2017-06-10T00:35:00Z,0.0
2017-06-10T00:40:00Z,0.0
2017-06-10T00:45:00Z,0.0
2017-06-10T00:50:00Z,0.0
2017-06-10T00:55:00Z,0.0
2017-06-10T01:00:00Z,0.0
2017-06-10T01:05:00Z,0.0
2017-06-10T01:10:00Z,0.0
2017-06-10T01:15:00Z,0.0
2017-06-10T01:20:00Z,0.0
2017-06-10T01:25:00Z,0.0
2017-06-10T01:30:00Z,0.0
2017-06-10T01:35:00Z,0.0
2017-06-10T01:40:00Z,0.0
2017-06-10T01:45:00Z,0.0
2017-06-10T01:50:00Z,0.0
2017-06-10T01:55:00Z,0.0
2017-06-10T02:00:00Z,0.0
2017-06-10T02:05:00Z,0.0
2017-06-10T02:10:00Z,0.0
2017-06-10T02:15:00Z,0.0
2017-06-10T02:20:00Z,0.0
2017-06-10T02:25:00Z,0.0
2017-06-10T02:30:00Z,0.0
2017-06-10T02:35:00Z,0.0
2017-06-10T02:40:00Z,0.0
2017-06-10T02:45:00Z,0.0
2017-06-10T02:50:00Z,0.0
2017-06-10T02:55:00Z,0.0
2017-06-10T03:00:00Z,0.0
2017-06-10T03:05:00Z,0.0
2017-06-10T03:10:00Z,0.0
2017-06-10T03:15:00Z,0.0
2017-06-10T03:20:00Z,0.0
2017-06-10T03:25:00Z,0.0
2017-06-10T03:30:00Z,0.0
2017-06-10T03:35:00Z,0.0
2017-06-10T03:40:00Z,0.0
2017-06-10T03:45:00Z,0.0
2017-06-10T03:50:00Z,0.0
2017-06-10T03:55:00Z,0.0
2017-06-10T04:00:00Z,0.0
2017-06-10T04:05:00Z,0.0
2017-06-10T04:10:00Z,0.0
2017-06-10T04:15:00Z,0.0
2017-06-10T04:20:00Z,0.0
2017-06-10T04:25:00Z,0.0
2017-06-10T04:30:00Z,0.0
2017-06-10T04:35:00Z,0.0
2017-06-10T04:40:00Z,0.0
2017-06-10T04:45:00Z,0.0
2017-06-10T04:50:00Z,0.0
2017-06-10T04:55:00Z,0.0
2017-06-10T05:00:00Z,0.0
2017-06-10T05:05:00Z,0.0
2017-06-10T05:10:00Z,0.0
2017-06-10T05:15:00Z,0.0
2017-06-10T05:20:00Z,0.0
2017-06-10T05:25:00Z,0.0
2017-06-10T05:30:00Z,0.0
2017-06-10T05:35:00Z,0.0
2017-06-10T05:40:00Z,0.0
2017-06-10T05:45:00Z,0.0
2017-06-10T05:50:00Z,0.0
2017-06-10T05:55:00Z,0.0
2017-06-10T06:00:00Z,0.0
2017-06-10T06:05:00Z,0.0
2017-06-10T06:10:00Z,0.0
2017-06-10T06:15:00Z,0.0
2017-06-10T06:20:00Z,0.0
2017-06-10T06:25:00Z,0.0
2017-06-10T06:30:00Z,0.0
2017-06-10T06:35:00Z,0.0
2017-06-10T06:40:00Z,0.0
2017-06-10T06:45:00Z,0.0
2017-06-10T06:50:00Z,0.0
2017-06-10T06:55:00Z,0.0
2017-06-10T07:00:00Z,0.0
2017-06-10T07:05:00Z,0.0
2017-06-10T07:10:00Z,0.0
2017-06-10T07:15:00Z,0.0
2017-06-10T07:20:00Z,0.0
2017-06-10T07:25:00Z,0.0
2017-06-10T07:30:00Z,0.0
2017-06-10T07:35:00Z,0.0
2017-06-10T07:40:00Z,0.0
2017-06-10T07:45:00Z,0.0
2017-06-10T07:50:00Z,0.0
2017-06-10T07:55:00Z,0.0
2017-06-10T08:00:00Z,0.0
2017-06-10T08:05:00Z,0.0
2017-06-10T08:10:00Z,0.0
2017-06-10T08:15:00Z,0.0
2017-06-10T08:20:00Z,0.0
2017-06-10T08:25:00Z,0.0
2017-06-10T08:30:00Z,0.0
2017-06-10T08:35:00Z,0.0
2017-06-10T08:40:00Z,0.0
2017-06-10T08:45:00Z,0.0
2017-06-10T08:50:00Z,0.0
2017-06-10T08:55:00Z,0.0
2017-06-10T09:00:00Z,0.0
2017-06-10T09:05:00Z,0.0
2017-06-10T09:10:00Z,0.0
2017-06-10T09:15:00Z,0.0
2017-06-10T09:20:00Z,0.0
2017-06-10T09:25:00Z,0.0
2017-06-10T09:30:00Z,0.0
2017-06-10T09:35:00Z,0.0
2017-06-10T09:40:00Z,0.0
2017-06-10T09:45:00Z,0.0
2017-06-10T09:50:00Z,0.0
2017-06-10T09:55:00Z,0.0
2017-06-10T10:00:00Z,0.0
2017-06-10T10:05:00Z,0.0
2017-06-10T10:10:00Z,0.0
2017-06-10T10:15:00Z,0.0
2017-06-10T10:20:00Z,0.0
2017-06-10T10:25:00Z,0.0
2017-06-10T10:30:00Z,0.0
2017-06-10T10:35:00Z,0.0
2017-06-10T10:40:00Z,0.0
2017-06-10T10:45:00Z,0.0
2017-06-10T10:50:00Z,0.0
2017-06-10T10:55:00Z,0.0
2017-06-10T11:00:00Z,0.0
2017-06-10T11:05:00Z,0.0
2017-06-10T11:10:00Z,0.0
2017-06-10T11:15:00Z,0.0
2017-06-10T11:20:00Z,0.0
2017-06-10T11:25:00Z,0.0
2017-06-10T11:30:00Z,0.0
2017-06-10T11:35:00Z,0.0
2017-06-10T11:40:00Z,0.0
2017-06-10T11:45:00Z,0.0
2017-06-10T11:50:00Z,0.0
2017-06-10T11:55:00Z,0.0
2017-06-10T12:00:00Z,0.0
2017-06-10T12:05:00Z,0.0
2017-06-10T12:10:00Z,0.0
2017-06-10T12:15:00Z,0.0
2017-06-10T12:20:00Z,0.0
2017-06-10T12:25:00Z,0.0
2017-06-10T12:30:00Z,0.0
2017-06-10T12:35:00Z,0.0
2017-06-10T12:40:00Z,0.0
2017-06-10T12:45:00Z,0.0
2017-06-10T12:50:00Z,0.0
2017-06-10T12:55:00Z,0.0
2017-06-10T13:00:00Z,0.0
2017-06-10T13:05:00Z,0.0
2017-06-10T13:10:00Z,0.0
2017-06-10T13:15:00Z,0.0
2017-06-10T13:20:00Z,0.0
2017-06-10T13:25:00Z,0.0
2017-06-10T13:30:00Z,0.0
2017-06-10T13:35:00Z,0.0
2017-06-10T13:40:00Z,0.0
2017-06-10T13:45:00Z,0.0
2017-06-10T13:50:00Z,0.0
2017-06-10T13:55:00Z,0.0
2017-06-10T14:00:00Z,0.0
2017-06-10T14:05:00Z,0.0
2017-06-10T14:10:00Z,0.0
2017-06-10T14:15:00Z,0.0
2017-06-10T14:20:00Z,0.0
2017-06-10T14:25:00Z,0.0
2017-06-10T14:30:00Z,0.0
2017-06-10T14:35:00Z,0.0
2017-06-10T14:40:00Z,0.0
2017-06-10T14:45:00Z,0.0
2017-06-10T14:50:00Z,0.0
2017-06-10T14:55:00Z,0.0
2017-06-10T15:00:00Z,0.0
2017-06-10T15:05:00Z,0.0
2017-06-10T15:10:00Z,0.0
2017-06-10T15:15:00Z,0.0
2017-06-10T15:20:00Z,0.0
2017-06-10T15:25:00Z,0.0
2017-06-10T15:30:00Z,0.0
2017-06-10T15:35:00Z,0.0
2017-06-10T15:40:00Z,0.0
2017-06-10T15:45:00Z,0.0
2017-06-10T15:50:00Z,0.0
2017-06-10T15:55:00Z,0.0
2017-06-10T16:00:00Z,0.0
2017-06-10T16:05:00Z,0.0
2017-06-10T16:10:00Z,0.0
2017-06-10T16:15:00Z,0.0
2017-06-10T16:20:00Z,0.0
2017-06-10T16:25:00Z,0.0
2017-06-10T16:30:00Z,0.0
2017-06-10T16:35:00Z,0.0
2017-06-10T16:40:00Z,0.0
2017-06-10T16:45:00Z,0.0
2017-06-10T16:50:00Z,0.0
2017-06-10T16:55:00Z,0.0
2017-06-10T17:00:00Z,0.0
2017-06-10T17:05:00Z,0.0
2017-06-10T17:10:00Z,0.0
2017-06-10T17:15:00Z,0.0
2017-06-10T17:20:00Z,0.0
2017-06-10T17:25:00Z,0.0
2017-06-10T17:30:00Z,0.0
2017-06-10T17:35:00Z,0.0
2017-06-10T17:40:00Z,0.0
2017-06-10T17:45:00Z,0.0
2017-06-10T17:50:00Z,0.0
2017-06-10T17:55:00Z,0.0
2017-06-10T18:00:00Z,0.0
2017-06-10T18:05:00Z,0.0
2017-06-10T18:10:00Z,0.0
2017-06-10T18:15:00Z,0.0
2017-06-10T18:20:00Z,0.0
2017-06-10T18:25:00Z,0.0
2017-06-10T18:30:00Z,0.0
2017-06-10T18:35:00Z,0.0
2017-06-10T18:40:00Z,0.0
2017-06-10T18:45:00Z,0.0
2017-06-10T18:50:00Z,0.0
2017-06-10T18:55:00Z,0.0
2017-06-10T19:00:00Z,0.0
2017-06-10T19:05:00Z,0.0
2017-06-10T19:10:00Z,0.0
2017-06-10T19:15:00Z,0.0
2017-06-10T19:20:00Z,0.0
2017-06-10T19:25:00Z,0.0
2017-06-10T19:30:00Z,0.0
2017-06-10T19:35:00Z,0.0
2017-06-10T19:40:00Z,0.0
2017-06-10T19:45:00Z,0.0
2017-06-10T19:50:00Z,0.0
2017-06-10T19:55:00Z,0.0
2017-06-10T20:00:00Z,0.0
2017-06-10T20:05:00Z,0.0
2017-06-10T20:10:00Z,0.0
2017-06-10T20:15:00Z,0.0
2017-06-10T20:20:00Z,0.0
2017-06-10T20:25:00Z,0.0
2017-06-10T20:30:00Z,0.0
2017-06-10T20:35:00Z,0.0
2017-06-10T20:40:00Z,0.0
2017-06-10T20:45:00Z,0.0
2017-06-10T20:50:00Z,0.0
2017-06-10T20:55:00Z,0.0
2017-06-10T21:00:00Z,0.0
2017-06-10T21:05:00Z,0.0
2017-06-10T21:10:00Z,0.0
2017-06-10T21:15:00Z,0.0
2017-06-10T21:20:00Z,0.0
2017-06-10T21:25:00Z,0.0
2017-06-10T21:30:00Z,0.0
2017-06-10T21:35:00Z,0.0
2017-06-10T21:40:00Z,0.0
2017-06-10T21:45:00Z,0.0
2017-06-10T21:50:00Z,0.0
2017-06-10T21:55:00Z,0.0
2017-06-10T22:00:00Z,0.0
2017-06-10T22:05:00Z,0.0
2017-06-10T22:10:00Z,0.0
2017-06-10T22:15:00Z,0.0
2017-06-10T22:20:00Z,0.0
2017-06-10T22:25:00Z,0.0
2017-06-10T22:30:00Z,0.0
2017-06-10T22:35:00Z,0.0
2017-06-10T22:40:00Z,0.0
2017-06-10T22:45:00Z,0.0
2017-06-10T22:50:00Z,0.0
2017-06-10T22:55:00Z,0.0
2017-06-10T23:00:00Z,0.0
2017-06-10T23:05:00Z,0.0
2017-06-10T23:10:00Z,0.0
2017-06-10T23:15:00Z,0.0
2017-06-10T23:20:00Z,0.0
2017-06-10T23:25:00Z,0.0
2017-06-10T23:30:00Z,0.0
2017-06-10T23:35:00Z,0.0
2017-06-10T23:40:00Z,0.0
2017-06-10T23:45:00Z,0.0
2017-06-10T23:50:00Z,0.0
2017-06-10T23:55:00Z,0.0
2017-06-11T00:00:00Z,0.0
2017-06-11T00:05:00Z,0.0
2017-06-11T00:10:00Z,0.0
2017-06-11T00:15:00Z,0.0
2017-06-11T00:20:00Z,0.0
2017-06-11T00:25:00Z,0.0
2017-06-11T00:30:00Z,0.0
2017-06-11T00:35:00Z,0.0
2017-06-11T00:40:00Z,0.0
2017-06-11T00:45:00Z,0.0
2017-06-11T00:50:00Z,0.0
2017-06-11T00:55:00Z,0.0
2017-06-11T01:00:00Z,0.0
2017-06-11T01:05:00Z,0.0
2017-06-11T01:10:00Z,0.0
2017-06-11T01:15:00Z,0.0
2017-06-11T01:20:00Z,0.0
2017-06-11T01:25:00Z,0.0
2017-06-11T01:30:00Z,0.0
2017-06-11T01:35:00Z,0.0
2017-06-11T01:40:00Z,0.0
2017-06-11T01:45:00Z,0.0
2017-06-11T01:50:00Z,0.0
2017-06-11T01:55:00Z,0.0
2017-06-11T02:00:00Z,0.0
2017-06-11T02:05:00Z,0.0
2017-06-11T02:10:00Z,0.0
2017-06-11T02:15:00Z,0.0
2017-06-11T02:20:00Z,0.0
2017-06-11T02:25:00Z,0.0
2017-06-11T02:30:00Z,0.0
2017-06-11T02:35:00Z,0.0
2017-06-11T02:40:00Z,0.0
2017-06-11T02:45:00Z,0.0
2017-06-11T02:50:00Z,0.0
2017-06-11T02:55:00Z,0.0
2017-06-11T03:00:00Z,0.0
2017-06-11T03:05:00Z,0.0
2017-06-11T03:10:00Z,0.0
2017-06-11T03:15:00Z,0.0
2017-06-11T03:20:00Z,0.0
2017-06-11T03:25:00Z,0.0
2017-06-11T03:30:00Z,0.0
2017-06-11T03:35:00Z,0.0
2017-06-11T03:40:00Z,0.0
2017-06-11T03:45:00Z,0.0
2017-06-11T03:50:00Z,0.0
2017-06-11T03:55:00Z,0.0
2017-06-11T04:00:00Z,0.0
2017-06-11T04:05:00Z,0.0
2017-06-11T04:10:00Z,0.0
2017-06-11T04:15:00Z,0.0
2017-06-11T04:20:00Z,0.0
2017-06-11T04:25:00Z,0.0
2017-06-11T04:30:00Z,0.0
2017-06-11T04:35:00Z,0.0
2017-06-11T04:40:00Z,0.0
2017-06-11T04:45:00Z,0.0
2017-06-11T04:50:00Z,0.0
2017-06-11T04:55:00Z,0.0
2017-06-11T05:00:00Z,0.0
2017-06-11T05:05:00Z,0.0
2017-06-11T05:10:00Z,0.0
2017-06-11T05:15:00Z,0.0
2017-06-11T05:20:00Z,0.0
2017-06-11T05:25:00Z,0.0
2017-06-11T05:30:00Z,0.0
2017-06-11T05:35:00Z,0.0
2017-06-11T05:40:00Z,0.0
2017-06-11T05:45:00Z,0.0
2017-06-11T05:50:00Z,0.0
2017-06-11T05:55:00Z,0.0
2017-06-11T06:00:00Z,0.0
2017-06-11T06:05:00Z,0.0
2017-06-11T06:10:00Z,0.0
2017-06-11T06:15:00Z,0.0
2017-06-11T06:20:00Z,0.0
2017-06-11T06:25:00Z,0.0
2017-06-11T06:30:00Z,0.0
2017-06-11T06:35:00Z,0.0
2017-06-11T06:40:00Z,0.0
2017-06-11T06:45:00Z,0.0
2017-06-11T06:50:00Z,0.0
2017-06-11T06:55:00Z,0.0
2017-06-11T07:00:00Z,0.0
2017-06-11T07:05:00Z,0.0
2017-06-11T07:10:00Z,0.0
2017-06-11T07:15:00Z,0.0
2017-06-11T07:20:00Z,0.0
2017-06-11T07:25:00Z,0.0
2017-06-11T07:30:00Z,0.0
2017-06-11T07:35:00Z,0.0
2017-06-11T07:40:00Z,0.0
2017-06-11T07:45:00Z,0.0
2017-06-11T07:50:00Z,0.0
2017-06-11T07:55:00Z,0.0
2017-06-11T08:00:00Z,0.0
2017-06-11T08:05:00Z,0.0
2017-06-11T08:10:00Z,0.0
2017-06-11T08:15:00Z,0.0
2017-06-11T08:20:00Z,0.0
2017-06-11T08:25:00Z,0.0
2017-06-11T08:30:00Z,0.0
2017-06-11T08:35:00Z,0.0
2017-06-11T08:40:00Z,0.0
2017-06-11T08:45:00Z,0.0
2017-06-11T08:50:00Z,0.0
2017-06-11T08:55:00Z,0.0
2017-06-11T09:00:00Z,0.0
2017-06-11T09:05:00Z,0.0
2017-06-11T09:10:00Z,0.0
2017-06-11T09:15:00Z,0.0
2017-06-11T09:20:00Z,0.0
2017-06-11T09:25:00Z,0.0
2017-06-11T09:30:00Z,0.0
2017-06-11T09:35:00Z,0.0
2017-06-11T09:40:00Z,0.0
2017-06-11T09:45:00Z,0.0
2017-06-11T09:50:00Z,0.0
2017-06-11T09:55:00Z,0.0
2017-06-11T10:00:00Z,0.0
2017-06-11T10:05:00Z,0.0
2017-06-11T10:10:00Z,0.0
2017-06-11T10:15:00Z,0.0
2017-06-11T10:20:00Z,0.0
2017-06-11T10:25:00Z,0.0
2017-06-11T10:30:00Z,0.0
2017-06-11T10:35:00Z,0.0
2017-06-11T10:40:00Z,0.0
2017-06-11T10:45:00Z,0.0
2017-06-11T10:50:00Z,0.0
2017-06-11T10:55:00Z,0.0
2017-06-11T11:00:00Z,0.0
2017-06-11T11:05:00Z,0.0
2017-06-11T11:10:00Z,0.0
2017-06-11T11:15:00Z,0.0
2017-06-11T11:20:00Z,0.0
2017-06-11T11:25:00Z,0.0
2017-06-11T11:30:00Z,0.0
2017-06-11T11:35:00Z,0.0
2017-06-11T11:40:00Z,0.0
2017-06-11T11:45:00Z,0.0
2017-06-11T11:50:00Z,0.0
2017-06-11T11:55:00Z,0.0
2017-06-11T12:00:00Z,0.0
2017-06-11T12:05:00Z,0.0
2017-06-11T12:10:00Z,0.0
2017-06-11T12:15:00Z,0.0
2017-06-11T12:20:00Z,0.0
2017-06-11T12:25:00Z,0.0
2017-06-11T12:30:00Z,0.0
2017-06-11T12:35:00Z,0.0
2017-06-11T12:40:00Z,0.0
2017-06-11T12:45:00Z,0.0
2017-06-11T12:50:00Z,0.0
2017-06-11T12:55:00Z,0.0
2017-06-11T13:00:00Z,0.0
2017-06-11T13:05:00Z,0.0
2017-06-11T13:10:00Z,0.0
2017-06-11T13:15:00Z,0.0
2017-06-11T13:20:00Z,0.0
2017-06-11T13:25:00Z,0.0
2017-06-11T13:30:00Z,0.0
2017-06-11T13:35:00Z,0.0
2017-06-11T13:40:00Z,0.0
2017-06-11T13:45:00Z,0.0
2017-06-11T13:50:00Z,0.0
2017-06-11T13:55:00Z,0.0
2017-06-11T14:00:00Z,0.0
2017-06-11T14:05:00Z,0.0
2017-06-11T14:10:00Z,0.0
2017-06-11T14:15:00Z,0.0
2017-06-11T14:20:00Z,0.0
2017-06-11T14:25:00Z,0.0
2017-06-11T14:30:00Z,0.0
2017-06-11T14:35:00Z,0.0
2017-06-11T14:40:00Z,0.0
2017-06-11T14:45:00Z,0.0
2017-06-11T14:50:00Z,0.0
2017-06-11T14:55:00Z,0.0
2017-06-11T15:00:00Z,0.0
2017-06-11T15:05:00Z,0.0
2017-06-11T15:10:00Z,0.0
2017-06-11T15:15:00Z,0.0
2017-06-11T15:20:00Z,0.0
2017-06-11T15:25:00Z,0.0
2017-06-11T15:30:00Z,0.0
2017-06-11T15:35:00Z,0.0
2017-06-11T15:40:00Z,0.0
2017-06-11T15:45:00Z,0.0
2017-06-11T15:50:00Z,0.0
2017-06-11T15:55:00Z,0.0
2017-06-11T16:00:00Z,0.0
2017-06-11T16:05:00Z,0.0
2017-06-11T16:10:00Z,0.0
2017-06-11T16:15:00Z,0.0
2017-06-11T16:20:00Z,0.0
2017-06-11T16:25:00Z,0.0
2017-06-11T16:30:00Z,0.0
2017-06-11T16:35:00Z,0.0
2017-06-11T16:40:00Z,0.0
2017-06-11T16:45:00Z,0.0
2017-06-11T16:50:00Z,0.0
2017-06-11T16:55:00Z,0.0
2017-06-11T17:00:00Z,0.0
2017-06-11T17:05:00Z,0.0
2017-06-11T17:10:00Z,0.0
2017-06-11T17:15:00Z,0.0
2017-06-11T17:20:00Z,0.0
2017-06-11T17:25:00Z,0.0
2017-06-11T17:30:00Z,0.0
2017-06-11T17:35:00Z,0.0
2017-06-11T17:40:00Z,0.0
2017-06-11T17:45:00Z,0.0
2017-06-11T17:50:00Z,0.0
2017-06-11T17:55:00Z,0.0
2017-06-11T18:00:00Z,0.0
2017-06-11T18:05:00Z,0.0
2017-06-11T18:10:00Z,0.0
2017-06-11T18:15:00Z,0.0
2017-06-11T18:20:00Z,0.0
2017-06-11T18:25:00Z,0.0
2017-06-11T18:30:00Z,0.0
2017-06-11T18:35:00Z,0.0
2017-06-11T18:40:00Z,0.0
2017-06-11T18:45:00Z,0.0
2017-06-11T18:50:00Z,0.0
2017-06-11T18:55:00Z,0.0
2017-06-11T19:00:00Z,0.0
2017-06-11T19:05:00Z,0.0
2017-06-11T19:10:00Z,0.0
2017-06-11T19:15:00Z,0.0
2017-06-11T19:20:00Z,0.0
2017-06-11T19:25:00Z,0.0
2017-06-11T19:30:00Z,0.0
2017-06-11T19:35:00Z,0.0
2017-06-11T19:40:00Z,0.0
2017-06-11T19:45:00Z,0.0
2017-06-11T19:50:00Z,0.0
2017-06-11T19:55:00Z,0.0
2017-06-11T20:00:00Z,0.0
2017-06-11T20:05:00Z,0.0
2017-06-11T20:10:00Z,0.0
2017-06-11T20:15:00Z,0.0
2017-06-11T20:20:00Z,0.0
2017-06-11T20:25:00Z,0.0
2017-06-11T20:30:00Z,0.0
2017-06-11T20:35:00Z,0.0
2017-06-11T20:40:00Z,0.0
2017-06-11T20:45:00Z,0.0
2017-06-11T20:50:00Z,0.0
2017-06-11T20:55:00Z,0.0
2017-06-11T21:00:00Z,0.0
2017-06-11T21:05:00Z,0.0
2017-06-11T21:10:00Z,0.0
2017-06-11T21:15:00Z,0.0
2017-06-11T21:20:00Z,0.0
2017-06-11T21:25:00Z,0.0
2017-06-11T21:30:00Z,0.0
2017-06-11T21:35:00Z,0.0
2017-06-11T21:40:00Z,0.0
2017-06-11T21:45:00Z,0.0
2017-06-11T21:50:00Z,0.0
2017-06-11T21:55:00Z,0.0
2017-06-11T22:00:00Z,0.0
2017-06-11T22:05:00Z,0.0
2017-06-11T22:10:00Z,0.0
2017-06-11T22:15:00Z,0.0
2017-06-11T22:20:00Z,0.0
2017-06-11T22:25:00Z,0.0
2017-06-11T22:30:00Z,0.0
2017-06-11T22:35:00Z,0.0
2017-06-11T22:40:00Z,0.0
2017-06-11T22:45:00Z,0.0
2017-06-11T22:50:00Z,0.0
2017-06-11T22:55:00Z,0.0
2017-06-11T23:00:00Z,0.0
2017-06-11T23:05:00Z,0.0
2017-06-11T23:10:00Z,0.0
2017-06-11T23:15:00Z,0.0
2017-06-11T23:20:00Z,0.0
2017-06-11T23:25:00Z,0.0
2017-06-11T23:30:00Z,0.0
2017-06-11T23:35:00Z,0.0
2017-06-11T23:40:00Z,0.0
2017-06-11T23:45:00Z,0.0
2017-06-11T23:50:00Z,0.0
2017-06-11T23:55:00Z,0.0
2017-06-12T00:00:00Z,0.0
2017-06-12T00:05:00Z,0.0
2017-06-12T00:10:00Z,0.0
2017-06-12T00:15:00Z,0.0
2017-06-12T00:20:00Z,0.0
2017-06-12T00:25:00Z,0.0
2017-06-12T00:30:00Z,0.0
2017-06-12T00:35:00Z,0.0
2017-06-12T00:40:00Z,0.0
2017-06-12T00:45:00Z,0.0
2017-06-12T00:50:00Z,0.0
2017-06-12T00:55:00Z,0.0
2017-06-12T01:00:00Z,0.0
2017-06-12T01:05:00Z,0.0
2017-06-12T01:10:00Z,0.0
2017-06-12T01:15:00Z,0.0
2017-06-12T01:20:00Z,0.0
2017-06-12T01:25:00Z,0.0
2017-06-12T01:30:00Z,0.0
2017-06-12T01:35:00Z,0.0
2017-06-12T01:40:00Z,0.0
2017-06-12T01:45:00Z,0.0
2017-06-12T01:50:00Z,0.0
